character_id,primary_name,alias_text,alias_type,action,rule,note
4,Rand al'Thor,ta'veren,epithet,KEEP,,Moiraine refers to him as such
4,Rand al'Thor,the Dragon,epithet,KEEP,,historical title
4,Rand al'Thor,the Dragon Reborn,epithet,KEEP,,Revealed at chapter end by Moiraine
4,Rand al'Thor,the man whose face had been seen in the sky,epithet,KEEP,,How the tales describe him after events at Falme
4,Rand al'Thor,the wolf,epithet,KEEP,,
4,Rand al'Thor,woolhead,epithet,KEEP,,
4,Rand al'Thor,young Master al'Thor,epithet,KEEP,,
4,Rand al'Thor,young prince,epithet,DROP,corrected_misnomer,Coline mistakenly thought he was a prince
4,Rand al'Thor,Car'a'carn,title,KEEP,,"chief of chiefs, proclaimed by Bair"
4,Rand al'Thor,King of Illian,title,KEEP,,
4,Rand al'Thor,Lord Dragon,title,COLLAPSE,article_dup,how Masema addresses him
4,Rand al'Thor,Lord Dragon Rand al'Thor,title,KEEP,,
4,Rand al'Thor,Lord of the Morning,title,KEEP,,one of his titles
4,Rand al'Thor,Lord Rand,title,DROP,rank_decorated,used by Shienaran women; Rand has not claimed this title
4,Rand al'Thor,Lord Rand of House al'Thor,title,KEEP,,Formal identification at the city gate
4,Rand al'Thor,Majesty,title,KEEP,,
4,Rand al'Thor,Master al'Thor,title,DROP,rank_decorated,
4,Rand al'Thor,my Lord Dragon,title,KEEP,,
4,Rand al'Thor,Prince of the Dawn,title,KEEP,,
4,Rand al'Thor,the Lord Dragon,title,KEEP,,Used by Shienarans
4,Rand al'Thor,True Defender of the Light,title,KEEP,,
5,Tam al'Thor,father,epithet,KEEP,,used by Rand
5,Tam al'Thor,Master al'Thor,title,DROP,rank_decorated,
6,Bela,dream-Bela,epithet,KEEP,,
6,Bela,plump Bela,epithet,DROP,descriptor_epithet,
6,Bela,shaggy Bela,epithet,KEEP,,
6,Bela,shaggy mare,epithet,COLLAPSE,article_dup,
6,Bela,stout mare,epithet,KEEP,,
6,Bela,the mare,epithet,KEEP,,
6,Bela,the shaggy mare,epithet,KEEP,,
6,Bela,the short shaggy mare,epithet,KEEP,,
7,Black Rider,black-cloaked rider,epithet,COLLAPSE,article_dup,
7,Black Rider,Fade,epithet,KEEP,,Rand refers to this figure as a Fade
7,Black Rider,Halfman,epithet,KEEP,,
7,Black Rider,horseman,epithet,COLLAPSE,article_dup,
7,Black Rider,Myrddraal,epithet,KEEP,,Used in narrative
7,Black Rider,the black-cloaked rider,epithet,KEEP,,
7,Black Rider,the dark horseman,epithet,KEEP,,
7,Black Rider,the horseman,epithet,KEEP,,
7,Black Rider,the rider,epithet,DROP,rank_decorated,
8,Brandelwyn al'Vere,Master al'Vere,title,DROP,rank_decorated,
8,Brandelwyn al'Vere,Mayor,title,COLLAPSE,article_dup,Mayor of Emond's Field for twenty years
8,Brandelwyn al'Vere,the Mayor,title,REVIEW,generic_role,
9,Matrim Cauthon,battle leader,epithet,KEEP,,Nalesean calls him battle leader
9,Matrim Cauthon,gambler,epithet,KEEP,,used by Rhuarc
9,Matrim Cauthon,general,epithet,REVIEW,generic_role,Talmanes and Nalesean call him general
9,Matrim Cauthon,gosling,epithet,KEEP,,used by Tylin
9,Matrim Cauthon,hero,epithet,KEEP,,Melindhra calls him 'the hero'
9,Matrim Cauthon,Hornsounder,epithet,KEEP,,
9,Matrim Cauthon,kitten,epithet,KEEP,,used by Tylin
9,Matrim Cauthon,lambkin,epithet,KEEP,,used by Tylin
9,Matrim Cauthon,pigeon,epithet,KEEP,,used by Tylin
9,Matrim Cauthon,piglet,epithet,KEEP,,used by Tylin in note
9,Matrim Cauthon,pretty little fox,epithet,KEEP,,Used by Tylin
9,Matrim Cauthon,rascal,epithet,KEEP,,Gill's assessment
9,Matrim Cauthon,son of battles,epithet,KEEP,,shouted by the three at the end
9,Matrim Cauthon,ta'veren,epithet,KEEP,,
9,Matrim Cauthon,the finch,epithet,KEEP,,self-referential metaphor in this chapter
9,Matrim Cauthon,the young Lord,epithet,KEEP,,
9,Matrim Cauthon,trickster,epithet,KEEP,,shouted by the three at the end
9,Matrim Cauthon,Tylin's Toy,epithet,KEEP,,
9,Matrim Cauthon,young master,epithet,KEEP,,used by Ramey
9,Matrim Cauthon,young Master Cauthon,epithet,KEEP,,
9,Matrim Cauthon,duckling,nickname,KEEP,,
9,Matrim Cauthon,little duckling,nickname,KEEP,,
9,Matrim Cauthon,little pigeon,nickname,KEEP,,"Tylin's pet name for him, referenced in chapter"
9,Matrim Cauthon,little rabbit,nickname,KEEP,,
9,Matrim Cauthon,my sweet,nickname,KEEP,,Tylin's address in her letter
9,Matrim Cauthon,sweetling,nickname,KEEP,,
9,Matrim Cauthon,Toy,nickname,KEEP,,Used by Tuon
9,Matrim Cauthon,Lord Cauthon,title,DROP,rank_decorated,Used by Mistress Anan
9,Matrim Cauthon,Lord General Cauthon,title,KEEP,,
9,Matrim Cauthon,Lord Mat,title,DROP,rank_decorated,Used by Melanril sarcastically/politely; Mat denies being a lord
9,Matrim Cauthon,Lord Mat Cauthon,title,DROP,rank_decorated,Guards/servants address him as lord though he is not truly one
9,Matrim Cauthon,Lord Matrim,title,DROP,rank_decorated,
9,Matrim Cauthon,Master Cauthon,title,DROP,rank_decorated,
9,Matrim Cauthon,Master Gleeman,title,KEEP,,Lan addresses Mat sarcastically as 'Master Gleeman' while he is studying the maps
9,Matrim Cauthon,Master Mat Cauthon,title,DROP,rank_decorated,
9,Matrim Cauthon,Master Matrim Cauthon,title,DROP,rank_decorated,
10,Cenn Buie,old Cenn Buie,epithet,DROP,descriptor_epithet,how Rand thinks of him
10,Cenn Buie,Master Buie,title,DROP,rank_decorated,
10,Cenn Buie,Mayor,title,REVIEW,generic_role,becomes Mayor in the second trial vision
11,Nynaeve al'Meara,crippled wilder,epithet,KEEP,,Used by Tarna Feir
11,Nynaeve al'Meara,fool girl,epithet,KEEP,,Cadsuane addresses her thus
11,Nynaeve al'Meara,maid,epithet,KEEP,,Playing a maid role to Elayne's lady
11,Nynaeve al'Meara,Nynaeve bloody al'Meara,epithet,KEEP,,
11,Nynaeve al'Meara,plain Nynaeve al'Meara,epithet,KEEP,,self-referential
11,Nynaeve al'Meara,sleepyhead,epithet,KEEP,,Used by Siuan this chapter
11,Nynaeve al'Meara,wilder,epithet,KEEP,,Called this by Faolain
11,Nynaeve al'Meara,Accepted,title,KEEP,,
11,Nynaeve al'Meara,Aes Sedai of the Green Ajah,title,KEEP,,False claim; she is an Accepted posing as full Aes Sedai
11,Nynaeve al'Meara,Aes Sedai of the Yellow Ajah,title,KEEP,,Nynaeve proclaims this herself to Tylin
11,Nynaeve al'Meara,Mistress al'Meara,title,DROP,rank_decorated,
11,Nynaeve al'Meara,Nynaeve Aes Sedai,title,DROP,rank_decorated,
11,Nynaeve al'Meara,Nynaeve Sedai,title,DROP,rank_decorated,Used by Amys
11,Nynaeve al'Meara,the Wisdom,title,REVIEW,generic_role,Village Wisdom of Emond's Field
11,Nynaeve al'Meara,village Wisdom,title,KEEP,,"Her former role, which Elaida dismisses as past"
11,Nynaeve al'Meara,Wisdom,title,COLLAPSE,article_dup,Used by Lan
11,Nynaeve al'Meara,Wise One,title,DROP,corrected_misnomer,"Aiel mistakenly address her by this title, thinking she is an Aes Sedai"
13,Daise Congar,Mistress Congar,title,DROP,rank_decorated,
13,Daise Congar,Wisdom,title,REVIEW,generic_role,referred to as the Wisdom of Emond's Field
14,Egwene al'Vere,Egwene al'Vere,primary,PROMOTE,promotion,from 'Egwene'
14,Egwene al'Vere,Dreamer,epithet,KEEP,,potential Talent as a Dreamer discussed
14,Egwene al'Vere,short apprentice girl,epithet,KEEP,,used mockingly by Sevanna
14,Egwene al'Vere,Tuli,nickname,KEEP,,"Name given by Renna as punishment, replacing her former allowed name"
14,Egwene al'Vere,Accepted,title,KEEP,,Her new rank after the ceremony
14,Egwene al'Vere,Aes Sedai of the Green Ajah,title,KEEP,,She calls herself this during the formal introduction ritual with the Wise Ones
14,Egwene al'Vere,Amyrlin,title,COLLAPSE,article_dup,referred to as Amyrlin throughout chapter
14,Egwene al'Vere,Amyrlin Seat,title,KEEP,,raised to this position in this chapter
14,Egwene al'Vere,Egwene Sedai,title,DROP,rank_decorated,Used by Sulin
14,Egwene al'Vere,Flame of Tar Valon,title,KEEP,,bestowed upon being raised Amyrlin
14,Egwene al'Vere,the Amyrlin,title,KEEP,,
14,Egwene al'Vere,Watcher of the Seals,title,KEEP,,bestowed upon being raised Amyrlin
14,Egwene al'Vere,Wisdom,title,REVIEW,generic_role,In alternate life
15,Perrin t'Bashere Aybara,Perrin t'Bashere Aybara,primary,PROMOTE,promotion,from 'Perrin Aybara'
15,Perrin t'Bashere Aybara,anvil-headed blacksmith,epithet,KEEP,,
15,Perrin t'Bashere Aybara,Bannerman,epithet,KEEP,,Carries the Dragon's banner into battle.
15,Perrin t'Bashere Aybara,big man,epithet,KEEP,,Used by Zarine
15,Perrin t'Bashere Aybara,blacksmith,epithet,COLLAPSE,article_dup,Lan addresses him this way
15,Perrin t'Bashere Aybara,brother,epithet,REVIEW,generic_role,used by Hopper the wolf in sending
15,Perrin t'Bashere Aybara,farmboy,epithet,KEEP,,What Zarine calls him
15,Perrin t'Bashere Aybara,Goldeneyes,epithet,KEEP,,Slayer addresses him this way in the wolf dream
15,Perrin t'Bashere Aybara,Lord Blacksmith,epithet,KEEP,,
15,Perrin t'Bashere Aybara,my husband,epithet,KEEP,,Used by Faile
15,Perrin t'Bashere Aybara,Perrin Golden-eyes,epithet,KEEP,,
15,Perrin t'Bashere Aybara,Perrin Goldeneyes,epithet,KEEP,,Used by Faile; spreading as a legend in the Two Rivers
15,Perrin t'Bashere Aybara,shaggy-hair,epithet,KEEP,,Used by Zarine/Faile
15,Perrin t'Bashere Aybara,Slayer of Trollocs,epithet,KEEP,,
15,Perrin t'Bashere Aybara,ta'veren,epithet,KEEP,,referred to as ta'veren by Alanna and Verin
15,Perrin t'Bashere Aybara,the Blacksmith,epithet,REVIEW,generic_role,name given by Bors in his mind due to the youth's blacksmith-like musculature
15,Perrin t'Bashere Aybara,the lad who claimed to be a blacksmith,epithet,KEEP,,how Bornhald recalls him
15,Perrin t'Bashere Aybara,the yellow-eyed man,epithet,KEEP,,described by Tomas
15,Perrin t'Bashere Aybara,Wolfbrother,epithet,KEEP,,the Green Man recognizes him as a Wolfbrother
15,Perrin t'Bashere Aybara,young Aybara,epithet,DROP,descriptor_epithet,
15,Perrin t'Bashere Aybara,Young Bull,epithet,KEEP,,name given by wolves; represents a massive wild bull with curved metal horns
15,Perrin t'Bashere Aybara,wildling,nickname,KEEP,,used by the beautiful woman in the dream
15,Perrin t'Bashere Aybara,Lord Aybara,title,DROP,rank_decorated,
15,Perrin t'Bashere Aybara,Lord of the Two Rivers,title,DROP,rank_decorated,
15,Perrin t'Bashere Aybara,Lord Perrin,title,DROP,rank_decorated,
15,Perrin t'Bashere Aybara,Lord Perrin Aybara,title,DROP,rank_decorated,
15,Perrin t'Bashere Aybara,Lord Perrin Aybara of the Two Rivers,title,DROP,rank_decorated,
15,Perrin t'Bashere Aybara,Lord Perrin Goldeneyes,title,KEEP,,
15,Perrin t'Bashere Aybara,Lord Perrin of the Two Rivers,title,DROP,rank_decorated,
15,Perrin t'Bashere Aybara,Master Aybara,title,DROP,rank_decorated,
15,Perrin t'Bashere Aybara,Master Goldeneyes,title,KEEP,,Used mockingly by Luc
15,Perrin t'Bashere Aybara,my Lord Perrin,title,KEEP,,
16,Thom Merrilin,clever old man,epithet,KEEP,,
16,Thom Merrilin,coachman,epithet,KEEP,,disguised as a coachman to escape Mardecin
16,Thom Merrilin,dangerous old man,epithet,KEEP,,
16,Thom Merrilin,gleeman,epithet,COLLAPSE,article_dup,professional entertainer/storyteller
16,Thom Merrilin,Gray Fox,epithet,KEEP,,Former epithet used by those who knew him
16,Thom Merrilin,old gleeman,epithet,KEEP,,
16,Thom Merrilin,old goat,epithet,KEEP,,Mat's internal name for him
16,Thom Merrilin,old Thom Merrilin,epithet,DROP,descriptor_epithet,Referred to as 'old' by Perrin
16,Thom Merrilin,the gleeman,epithet,REVIEW,generic_role,
16,Thom Merrilin,Court-bard,title,KEEP,,Former position in Caemlyn
16,Thom Merrilin,Master Bard,title,KEEP,,used by Moiraine
16,Thom Merrilin,Master Gleeman,title,KEEP,,
16,Thom Merrilin,Master Merrilin,title,DROP,rank_decorated,
20,Marin al'Vere,Marin al'Vere,primary,PROMOTE,promotion,from 'Mistress al'Vere'
21,Scratch,the inn's yellow cat,epithet,KEEP,,
22,Haral Luhhan,Master Luhhan,title,DROP,rank_decorated,
23,Jon Thane,the blacksmith,epithet,REVIEW,generic_role,His profession
25,Moiraine Damodred,Moiraine Damodred,primary,PROMOTE,promotion,from 'Moiraine'
25,Moiraine Damodred,Lady Moiraine,title,DROP,rank_decorated,formal address
25,Moiraine Damodred,Lady Moiraine of House Damodred,title,KEEP,,
25,Moiraine Damodred,Mistress Moiraine,title,DROP,rank_decorated,
25,Moiraine Damodred,Moiraine Aes Sedai,title,DROP,rank_decorated,
25,Moiraine Damodred,Moiraine Sedai,title,DROP,rank_decorated,Formal Aes Sedai title
25,Moiraine Damodred,the Aes Sedai,title,REVIEW,empty_residue,
25,Moiraine Damodred,the Lady Moiraine,title,DROP,rank_decorated,used by villagers
26,Lan Mandragoran,Aan'allein,epithet,KEEP,,"Old Tongue name used by the Wise Ones, meaning 'One Man' / 'The Man Who Is an Entire People'"
26,Lan Mandragoran,child king,epithet,KEEP,,"Rhuarc speaks of the ring of Malkieri kings and mentions only a child king survived, who courts death"
26,Lan Mandragoran,sheepherder,epithet,KEEP,,What Lan calls Rand
26,Lan Mandragoran,stone-face,epithet,KEEP,,Used by Zarine
26,Lan Mandragoran,the Golden Crane,epithet,KEEP,,"banner of Malkier, associated with Lan"
26,Lan Mandragoran,the War . . . ah . . . Master Andra,epithet,DROP,corrected_misnomer,Min nearly calls him Warder but corrects herself
26,Lan Mandragoran,Dai Shan,title,REVIEW,empty_residue,Borderlands honorific meaning Battle Lord
26,Lan Mandragoran,Diademed Battle Lord of the Malkieri,title,KEEP,,Formal title revealed by Moiraine
26,Lan Mandragoran,Gaidin,title,KEEP,,"Another term for Warder, used by Moiraine"
26,Lan Mandragoran,King of Malkier,title,KEEP,,Uncrowned
26,Lan Mandragoran,Lan Dai Shan,title,DROP,rank_decorated,
26,Lan Mandragoran,Lan Gaidin,title,KEEP,,Gaidin is the term for Warder
26,Lan Mandragoran,last Lord of the Seven Towers,title,KEEP,,Moiraine addresses him by this title
26,Lan Mandragoran,Lord Lan,title,DROP,rank_decorated,Used by Mistress Harfor
26,Lan Mandragoran,Lord of the Lakes,title,KEEP,,
26,Lan Mandragoran,Lord of the Seven Towers,title,KEEP,,Malkieri title
26,Lan Mandragoran,Master Lan,title,DROP,rank_decorated,
26,Lan Mandragoran,the Warder,title,KEEP,,common reference throughout chapter
26,Lan Mandragoran,Warder,title,COLLAPSE,article_dup,his role as Aes Sedai's bonded protector
29,Alsbet Luhhan,Mistress Luhhan,title,DROP,rank_decorated,
34,Padan Fain,a Lugarder,epithet,KEEP,,Barthanes describes him as from Lugard
34,Padan Fain,bony man,epithet,KEEP,,
34,Padan Fain,Darkfriend and worse,epithet,KEEP,,as called by Moiraine
34,Padan Fain,the beggar,epithet,KEEP,,his appearance in Caemlyn
34,Padan Fain,the crazy man,epithet,KEEP,,"Whitebridge epithet for Fain (Bk1 Ch26), merged by curator decision."
34,Padan Fain,the Dark One's hound,epithet,KEEP,,Description of his role after being changed at Shayol Ghul
34,Padan Fain,the Darkfriend,epithet,KEEP,,How others refer to him
34,Padan Fain,the peddler,epithet,REVIEW,generic_role,his occupation
34,Padan Fain,Old Fain,nickname,DROP,descriptor_epithet,
34,Padan Fain,Master Fain,title,DROP,rank_decorated,
34,Padan Fain,Master Ordeith,title,KEEP,,
36,Bili Congar,Old Bili,nickname,DROP,descriptor_epithet,
36,Bili Congar,Master Congar,title,DROP,corrected_misnomer,Mat corrects himself to use this form
39,Bandry Crawe,Ban,nickname,KEEP,,used by Rand
39,Bandry Crawe,Master Crawe,title,DROP,rank_decorated,When referring to his house
41,Oren Dautry,Master Dautry,title,DROP,rank_decorated,
44,Laman,King Laman,title,KEEP,,King of Cairhien
45,Abell Cauthon,my da,epithet,KEEP,,How Mat refers to him
45,Abell Cauthon,Master Cauthon,title,DROP,rank_decorated,How his house is referred to
55,Eldrene ay Ellan ay Carlan,the Rose of the Sun,epithet,KEEP,,Her epithet and part of Manetheren's warcry
56,Cloud,the gray,epithet,KEEP,,description by color
57,Master Hightower,the ferrety man,epithet,KEEP,,descriptive epithet used by narrator
57,Master Hightower,the ferryman,epithet,KEEP,,his occupation
58,Aldieb,Moiraine's mare,epithet,KEEP,,
58,Aldieb,the mare,epithet,KEEP,,
58,Aldieb,the white mare,epithet,KEEP,,
58,Aldieb,Westwind,epithet,KEEP,,Meaning of name in Old Tongue - the wind that brought spring rains
58,Aldieb,white mare,epithet,COLLAPSE,article_dup,
59,Mandarb,Blade,epithet,KEEP,,Meaning of name in Old Tongue
60,Avin,Master Avin,title,DROP,rank_decorated,Title form of address
64,Min Farshaw,Min Farshaw,primary,PROMOTE,promotion,from 'Min'
64,Min Farshaw,Lady Ta'veren,epithet,KEEP,,Dobraine's joking title for her
64,Min Farshaw,the woman in men's clothes,epithet,KEEP,,
64,Min Farshaw,wife,epithet,KEEP,,referred to as Rand's wife under the disguise
64,Min Farshaw,cabbage,nickname,KEEP,,Mahiro's affectionate term for her
64,Min Farshaw,sheepherder,nickname,KEEP,,Min's pet name for Rand
64,Min Farshaw,Lady Min,title,DROP,rank_decorated,
65,Logain,false Dragon,epithet,COLLAPSE,article_dup,he claims to be the Dragon Reborn
65,Logain,gentled false Dragon,epithet,KEEP,,
65,Logain,the false Dragon,epithet,KEEP,,how he is referred to throughout
65,Logain,the unbeliever,epithet,KEEP,,Elaida's term for him
65,Logain,Master Logain,title,DROP,rank_decorated,
66,Governor Adan,Governor,title,DROP,rank_decorated,
71,Yurian Stonebow,false Dragon,epithet,KEEP,,Rose from ashes of Trolloc Wars
74,Artur Hawkwing,High King,title,COLLAPSE,article_dup,ruled a vast empire
74,Artur Hawkwing,the High King,title,KEEP,,His ruling title
77,Geofram Bornhald,Geofram Bornhald,primary,PROMOTE,promotion,from 'Bornhald'
77,Geofram Bornhald,Lord Bornhald,title,DROP,rank_decorated,
77,Geofram Bornhald,Lord Captain,title,COLLAPSE,article_dup,His rank within the Children
77,Geofram Bornhald,Lord Captain Bornhald,title,DROP,rank_decorated,Full formal address
77,Geofram Bornhald,Lord Captain Geofram Bornhald,title,DROP,rank_decorated,full title and name
77,Geofram Bornhald,my Lord Captain,title,KEEP,,How subordinates address him
77,Geofram Bornhald,the Lord Captain,title,REVIEW,empty_residue,
87,Balwen Mayel,Balwen Ironhand,epithet,KEEP,,His epithet as king
88,Caar,Caar One-Hand,epithet,KEEP,,Earned after escaping Aridhol's dungeons
88,Caar,Prince Caar,title,KEEP,,His title as prince of Manetheren
91,Mashadar,that thing,epithet,KEEP,,how Nynaeve refers to it
92,Bayle Domon,Illianer,epithet,COLLAPSE,article_dup,called this by Juilin
92,Bayle Domon,the Illianer,epithet,KEEP,,
92,Bayle Domon,trader,epithet,KEEP,,Occupation
92,Bayle Domon,Captain Domon,title,KEEP,,
92,Bayle Domon,Master Bayle Domon,title,DROP,rank_decorated,
92,Bayle Domon,Master Cauthon,title,KEEP,,Not applicable here; Bayle refers to Mat as 'Master Cauthon'
92,Bayle Domon,Master Domon,title,DROP,rank_decorated,
92,Bayle Domon,so'jhin,title,KEEP,,Bought by Egeanin and made so'jhin
95,Elyas Machera,Long Tooth,epithet,KEEP,,wolf name for Elyas; image of a wolf with one long steel tooth
98,Hopper,brother,epithet,REVIEW,generic_role,Relationship term between wolves
99,Wind,leggy gray gelding,epithet,KEEP,,
101,Raen,Mahdi,title,KEEP,,"means Seeker, his title as leader of the band"
101,Raen,Seeker,title,KEEP,,title for the leader
103,Aram,former Tinker,epithet,KEEP,,
103,Aram,one-time Tinker,epithet,KEEP,,
103,Aram,onetime Tinker,epithet,KEEP,,
103,Aram,Tinker,epithet,KEEP,,
107,Queen Morgase,good Queen Morgase,epithet,KEEP,,How people refer to her with respect
107,Queen Morgase,our good Queen,epithet,KEEP,,fat officer uses this
107,Queen Morgase,Defender of the Realm,title,KEEP,,
107,Queen Morgase,High Seat of House Trakand,title,KEEP,,
107,Queen Morgase,Majesty,title,KEEP,,
107,Queen Morgase,"Morgase, by the Grace of the Light, Queen of Andor, Defender of the Realm, Protector of the People, High Seat of the House Trakand",title,KEEP,,full formal title
107,Queen Morgase,my Queen,title,KEEP,,how she is addressed
107,Queen Morgase,Protector of the People,title,KEEP,,
107,Queen Morgase,Queen of Andor,title,DROP,rank_decorated,
107,Queen Morgase,Your Majesty,title,KEEP,,
110,Jaret Byar,Jaret Byar,primary,PROMOTE,promotion,from 'Byar'
110,Jaret Byar,Child Byar,title,KEEP,,His rank and name within the Children
111,Dain Bornhald,Dain Bornhald,primary,PROMOTE,promotion,from 'Dain'
111,Dain Bornhald,Captain of the Children of the Light,title,KEEP,,
111,Dain Bornhald,Child Bornhald,title,KEEP,,
111,Dain Bornhald,Lord Bornhald,title,DROP,rank_decorated,
121,Hyam Kinch,Master Kinch,title,DROP,rank_decorated,used by narrative
122,Alpert Mull,Master Mull,title,DROP,rank_decorated,used by narrative
123,Rulan Allwine,Master Allwine,title,DROP,rank_decorated,used by narrative
129,Elaida do Avriny a'Roihan,Elaida do Avriny a'Roihan,primary,PROMOTE,promotion,from 'Elaida'
129,Elaida do Avriny a'Roihan,Amyrlin Seat,title,KEEP,,Raised to this position during the chapter's events
129,Elaida do Avriny a'Roihan,Elaida Sedai,title,DROP,rank_decorated,respectful address
129,Elaida do Avriny a'Roihan,Flame of Tar Valon,title,KEEP,,on arrest warrant
129,Elaida do Avriny a'Roihan,Watcher of the Seals,title,KEEP,,on arrest warrant
130,Elayne Trakand,Elayne Trakand,primary,PROMOTE,promotion,from 'Elayne'
130,Elayne Trakand,Elayne of Andor,epithet,KEEP,,Used by Thom in admiration
130,Elayne Trakand,future Queen of Andor,epithet,KEEP,,
130,Elayne Trakand,my fine Lady,epithet,KEEP,,Mat's mocking address
130,Elayne Trakand,pretty girl,epithet,KEEP,,used by Alise
130,Elayne Trakand,Accepted,title,KEEP,,
130,Elayne Trakand,Aes Sedai of the Green Ajah,title,KEEP,,False claim for their mission; they are Accepted posing as full Aes Sedai
130,Elayne Trakand,Daughter-Heir,title,COLLAPSE,article_dup,her position
130,Elayne Trakand,Daughter-Heir of Andor,title,KEEP,,
130,Elayne Trakand,Elayne Aes Sedai,title,DROP,rank_decorated,
130,Elayne Trakand,Elayne of House Trakand,title,KEEP,,Full formal name used by the Amyrlin
130,Elayne Trakand,Elayne Sedai,title,DROP,rank_decorated,
130,Elayne Trakand,High Seat of House Trakand,title,KEEP,,
130,Elayne Trakand,Lady Elayne,title,DROP,rank_decorated,
130,Elayne Trakand,my Queen,title,KEEP,,
130,Elayne Trakand,Queen of Andor,title,KEEP,,She reflects she is supposed to be Queen one day
130,Elayne Trakand,the Daughter-Heir,title,KEEP,,
130,Elayne Trakand,the Lady Elayne,title,DROP,rank_decorated,
131,Gawyn Trakand,Gawyn Trakand,primary,PROMOTE,promotion,from 'Gawyn'
131,Gawyn Trakand,the White Boar,epithet,KEEP,,Battle cry used by his followers
131,Gawyn Trakand,First Prince of the Sword,title,KEEP,,
131,Gawyn Trakand,Lord Gawyn,title,DROP,rank_decorated,
133,Tigraine Mantear,Shaiel,epithet,KEEP,,Aiel name; revealed book 6
133,Tigraine Mantear,the Daughter-Heir,title,KEEP,,Her former title before she vanished
134,Luc Mantear,Hunter for the Horn,epithet,KEEP,,
134,Luc Mantear,Isam Mandragoran,epithet,KEEP,,
134,Luc Mantear,Slayer,epithet,KEEP,,
134,Luc Mantear,First Prince of the Sword,title,KEEP,,Title he would have held if he had lived
134,Luc Mantear,Lord Luc,title,DROP,rank_decorated,
134,Luc Mantear,Lord Luc of Chiendelna,title,KEEP,,
136,Basel Gill,Master Gill,title,DROP,rank_decorated,
136,Basel Gill,shambayan,title,KEEP,,Faile appoints him as shambayan (household steward)
137,Gareth Bryne,the Bull,epithet,KEEP,,His sigil; soldiers cheer it
137,Gareth Bryne,Captain-General,title,KEEP,,Of the Queen's Guards
137,Gareth Bryne,Lord Bryne,title,DROP,rank_decorated,
137,Gareth Bryne,Lord Gareth,title,DROP,rank_decorated,noble address
137,Gareth Bryne,Lord Gareth Bryne,title,DROP,rank_decorated,
