db_file,character_id,primary_name,old_value,new_value,rationale
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,195,Alwyn al'Van,Two Rivers (Emond's Field),"Emond's Field, Two Rivers, Andor","Apply new compound-hierarchy rule for corrected rows: village, region, nation."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,232,Whatley Eldin,Two Rivers (Emond's Field),"Emond's Field, Two Rivers, Andor",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,104,Wil al'Seen,Two Rivers (from Deven Ride),"Deven Ride, Two Rivers, Andor",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,248,Malena Aylar,Two Rivers (from Watch Hill),"Watch Hill, Two Rivers, Andor",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,326,Simion,Jarra (Ghealdan),"Jarra, Ghealdan",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,327,Noam,Jarra (Ghealdan),"Jarra, Ghealdan",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,328,Master Harod,Jarra (Ghealdan),"Jarra, Ghealdan",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,329,Mother Roon,Jarra (Ghealdan),"Jarra, Ghealdan",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,330,Rilith,Jarra (Ghealdan),"Jarra, Ghealdan",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,331,Widow Jorath,Jarra (Ghealdan),"Jarra, Ghealdan",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,332,Banas,Jarra (Ghealdan),"Jarra, Ghealdan",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,333,Nico,Jarra (Ghealdan),"Jarra, Ghealdan",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,334,Patrim,Jarra (Ghealdan),"Jarra, Ghealdan",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,243,Adeleas,Arafellin (lives in Arafel),Arafel,Strip 'lives in' hedge; apply new place-name style for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,244,Vandene,Arafellin (lives in Arafel),Arafel,Strip 'lives in' hedge; apply new place-name style for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,379,Mother Leich,Altaran (Remen area),"Remen, Altara","Apply new compound-hierarchy rule for corrected rows: town, nation."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,376,Gainor Furlan,Altaran (Remen),"Remen, Altara",Apply new compound-hierarchy rule for corrected rows.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,45,Abell Cauthon,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,30,Adan al'Caar,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,29,Alsbet Luhhan,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,39,Bandry Crawe,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,46,Berin Thane,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,36,Bili Congar,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,8,Brandelwyn al'Vere,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,10,Cenn Buie,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,252,Corin Ayellin,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,31,Dag Coplin,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,13,Daise Congar,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,48,Darl Coplin,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,17,Dav,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,14,Egwene,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,18,Elam Dowtry,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,37,Ewal Coplin,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,52,Eward Candwin,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,24,Ewin Finngar,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,22,Haral Luhhan,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,49,Hari Coplin,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,32,Hu,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,351,Jaim Dawtry,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,23,Jon Thane,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,43,Kari al'Thor,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,38,Lem Thane,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,299,Marisa Ayellin,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,112,Master Aydaer,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,9,Matrim Cauthon,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,78,Mavra Mallen,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,35,Mistress Ayellin,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,94,Mistress Barran,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,47,Mistress Calder,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,19,Mistress al'Donel,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,20,Mistress al'Vere,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,251,Nela,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,11,Nynaeve al'Meara,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,41,Oren Dautry,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,50,Paet al'Caar,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,15,Perrin Aybara,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,4,Rand al'Thor,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,27,Rowan Hurn,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,28,Samel Crawe,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,33,Tad,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,5,Tam al'Thor,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,51,Wil,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,12,Wit Congar,Two Rivers,"Two Rivers, Andor","Apply new compound-hierarchy rule: bare 'Two Rivers' expanded to 'Two Rivers, Andor' for full village/region/nation hierarchy. Consistent with the village-prefixed rows just rewritten (Emond's Field, Two Rivers, Andor etc)."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,411,the dark-eyed girl,Illianer (implied),,"Text gives no narrator-voice origin statement; only scene-location inference (sings on table at inn, single Bk3 Ch43 appearance). Else-Whitebridge pattern: located-in-Illian became labeled-Illianer without evidence."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,420,Juilin Sandar,Tairen (implied),"Maule, Tear",Two textual signals: (1) Mat addresses him as 'Tairen' in dialogue (Bk3 Ch54); (2) Mother Guenna introduces him as 'the most honest man ever born in the Maule' (Bk3 Ch49). The Maule is a district of Tear. Hedged '(implied)' replaced with definitive compound value per new rule.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,419,Ailhuin Guenna,Tairen (speaks with Tairen accent),"Maule, Tear","Established as the local Wise Woman of the Maule district of Tear (Bk3 Ch48-52, all appearances in her house in the Maule). Contrastive evidence: in Bk3 Ch48 she tells a visitor 'You're not Tairen' (implying she is). The accent-hedge replaced with definitive compound value per new rule."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,107,Queen Morgase,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,121,Hyam Kinch,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,122,Alpert Mull,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,123,Rulan Allwine,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,124,Paitr,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,126,Mother Brune,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,127,Almen Bunt,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,130,Elayne,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,131,Gawyn,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,133,Tigraine,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,134,Luc,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,136,Basel Gill,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,137,Gareth Bryne,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,140,Mother Grubb,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,141,Lamgwin,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,142,Tallanvor,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,144,Lini,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1.db,146,Gilda,Andoran,Andor,Phase 1 demonym normalization: place name not demonym per compound-hierarchy convention.
